Child_ID,Exam,Goal,Grade,main_learnpath,Title,Format_refrence,Topic_learnpath_name,Video_ID
3721404,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--getting to know plants,Venation in Leaves,5ec5867a0c88fe5860961943,cbse--6th cbse--science--biology--getting to know plants--leaf,5912175
3721404,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--getting to know plants,The Amazing Process of Photosynthesis,5ec5867a0c88fe5860961943,cbse--6th cbse--science--biology--getting to know plants--leaf,5912176
3721404,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--getting to know plants,Importance of Roots,5ec5867a0c88fe5860961943,cbse--6th cbse--science--biology--getting to know plants--root,5912177
3721404,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--getting to know plants,Types of Root System,5ec5867a0c88fe5860961943,cbse--6th cbse--science--biology--getting to know plants--root,5914415
3721404,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--getting to know plants,Difference Between Dicots and Monocots,5ec5867a0c88fe5860961943,cbse--6th cbse--science--biology--getting to know plants--root,5912178
3721404,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--getting to know plants,The Flower,5ec5867a0c88fe5860961943,cbse--6th cbse--science--biology--getting to know plants--flower,5914416
3721404,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--body movements,How do we move?,5ec5867a0c88fe5860961943,cbse--6th cbse--science--biology--body movements--human body and its movements,5914417
3721404,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--body movements,The Skeletal System and its Functions,5ec5867a0c88fe5860961943,cbse--6th cbse--science--biology--body movements--human body and its movements,5914418
3721404,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--body movements,Components of the Axial Skeleton,5ec5867a0c88fe5860961943,cbse--6th cbse--science--biology--body movements--human body and its movements,5939684
3721404,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--body movements,The Rib Cage,5ec5867a0c88fe5860961943,cbse--6th cbse--science--biology--body movements--human body and its movements,5914419
3721404,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--body movements,Joints in the Human Body,5ec5867a0c88fe5860961943,cbse--6th cbse--science--biology--body movements--human body and its movements,5914421
3721404,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--body movements,"Bones, Joints and Muscles",5ec5867a0c88fe5860961943,cbse--6th cbse--science--biology--body movements--human body and its movements,5914422
3721404,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--body movements,Human Muscular System,5ec5867a0c88fe5860961943,cbse--6th cbse--science--biology--body movements--human body and its movements,5914425
3721404,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--body movements,Gait in Animals,5ec5867a0c88fe5860961943,cbse--6th cbse--science--biology--body movements--gait of animals,5914426
3721404,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--body movements,Locomotory Organs in Animals,5ec5867a0c88fe5860961943,cbse--6th cbse--science--biology--body movements--gait of animals,5914427
3721404,6th CBSE,CBSE,6,"cbse--6th cbse--science--biology--garbage in, garbage out",Saving the Planet from Garbage and Litter,5ec5867a0c88fe5860961943,"cbse--6th cbse--science--biology--garbage in, garbage out--dealing with garbage",5914472
3721404,6th CBSE,CBSE,6,"cbse--6th cbse--science--biology--garbage in, garbage out",Waste Recycling,5ec5867a0c88fe5860961943,"cbse--6th cbse--science--biology--garbage in, garbage out--dealing with garbage",5914473
3721404,6th CBSE,CBSE,6,"cbse--6th cbse--science--biology--garbage in, garbage out",Recycling Plastic,5ec5867a0c88fe5860961943,"cbse--6th cbse--science--biology--garbage in, garbage out--dealing with garbage",5914474
